0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 50, 'optimizer': 'Adam'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 50, 'optimizer': 'Adamax'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 50, 'optimizer': 'SGD'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 50, 'optimizer': 'RMSprop'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 50, 'optimizer': 'Adadelta'}
0.570 (+/-0.226) for {'activation': 'softmax', 'epochs': 100, 'optimizer': 'Adam'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 100, 'optimizer': 'Adamax'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 100, 'optimizer': 'SGD'}
0.454 (+/-0.147) for {'activation': 'softmax', 'epochs': 100, 'optimizer': 'RMSprop'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 100, 'optimizer': 'Adadelta'}
0.589 (+/-0.222) for {'activation': 'softmax', 'epochs': 150, 'optimizer': 'Adam'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 150, 'optimizer': 'Adamax'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 150, 'optimizer': 'SGD'}
0.483 (+/-0.012) for {'activation': 'softmax', 'epochs': 150, 'optimizer': 'RMSprop'}
0.335 (+/-0.004) for {'activation': 'softmax', 'epochs': 150, 'optimizer': 'Adadelta'}
0.756 (+/-0.020) for {'activation': 'relu', 'epochs': 50, 'optimizer': 'Adam'}
0.726 (+/-0.006) for {'activation': 'relu', 'epochs': 50, 'optimizer': 'Adamax'}
0.445 (+/-0.122) for {'activation': 'relu', 'epochs': 50, 'optimizer': 'SGD'}
0.652 (+/-0.051) for {'activation': 'relu', 'epochs': 50, 'optimizer': 'RMSprop'}
0.720 (+/-0.020) for {'activation': 'relu', 'epochs': 50, 'optimizer': 'Adadelta'}
0.761 (+/-0.005) for {'activation': 'relu', 'epochs': 100, 'optimizer': 'Adam'}
0.762 (+/-0.008) for {'activation': 'relu', 'epochs': 100, 'optimizer': 'Adamax'}
0.465 (+/-0.036) for {'activation': 'relu', 'epochs': 100, 'optimizer': 'SGD'}
0.688 (+/-0.053) for {'activation': 'relu', 'epochs': 100, 'optimizer': 'RMSprop'}
0.765 (+/-0.015) for {'activation': 'relu', 'epochs': 100, 'optimizer': 'Adadelta'}
0.760 (+/-0.012) for {'activation': 'relu', 'epochs': 150, 'optimizer': 'Adam'}
0.773 (+/-0.014) for {'activation': 'relu', 'epochs': 150, 'optimizer': 'Adamax'}
0.521 (+/-0.087) for {'activation': 'relu', 'epochs': 150, 'optimizer': 'SGD'}
0.601 (+/-0.052) for {'activation': 'relu', 'epochs': 150, 'optimizer': 'RMSprop'}
0.740 (+/-0.016) for {'activation': 'relu', 'epochs': 150, 'optimizer': 'Adadelta'}
0.757 (+/-0.009) for {'activation': 'elu', 'epochs': 50, 'optimizer': 'Adam'}
0.736 (+/-0.010) for {'activation': 'elu', 'epochs': 50, 'optimizer': 'Adamax'}
0.458 (+/-0.023) for {'activation': 'elu', 'epochs': 50, 'optimizer': 'SGD'}
0.733 (+/-0.012) for {'activation': 'elu', 'epochs': 50, 'optimizer': 'RMSprop'}
0.740 (+/-0.014) for {'activation': 'elu', 'epochs': 50, 'optimizer': 'Adadelta'}
0.779 (+/-0.009) for {'activation': 'elu', 'epochs': 100, 'optimizer': 'Adam'}
0.770 (+/-0.001) for {'activation': 'elu', 'epochs': 100, 'optimizer': 'Adamax'}
0.385 (+/-0.107) for {'activation': 'elu', 'epochs': 100, 'optimizer': 'SGD'}
0.768 (+/-0.004) for {'activation': 'elu', 'epochs': 100, 'optimizer': 'RMSprop'}
0.755 (+/-0.014) for {'activation': 'elu', 'epochs': 100, 'optimizer': 'Adadelta'}
0.781 (+/-0.005) for {'activation': 'elu', 'epochs': 150, 'optimizer': 'Adam'}
0.784 (+/-0.004) for {'activation': 'elu', 'epochs': 150, 'optimizer': 'Adamax'}
