0.5467880831819716 {'activation': 'relu', 'epochs': 50, 'optimizer': 'SGD'}
0.4090635245024083 {'activation': 'softmax', 'epochs': 50, 'optimizer': 'Adam'}
0.4030223668151704 {'activation': 'softmax', 'epochs': 50, 'optimizer': 'Adamax'}
0.16658399419209174 {'activation': 'softmax', 'epochs': 50, 'optimizer': 'SGD'}
0.44894233953689644 {'activation': 'softmax', 'epochs': 50, 'optimizer': 'RMSprop'}
0.16658399419209174 {'activation': 'softmax', 'epochs': 50, 'optimizer': 'Adadelta'}
0.39138292164720273 {'activation': 'softmax', 'epochs': 100, 'optimizer': 'Adam'}
0.40396130318675116 {'activation': 'softmax', 'epochs': 100, 'optimizer': 'Adamax'}
0.16658399419209174 {'activation': 'softmax', 'epochs': 100, 'optimizer': 'SGD'}
0.3856783446361555 {'activation': 'softmax', 'epochs': 100, 'optimizer': 'RMSprop'}
0.16658399419209174 {'activation': 'softmax', 'epochs': 100, 'optimizer': 'Adadelta'}
0.412677598575915 {'activation': 'softmax', 'epochs': 150, 'optimizer': 'Adam'}
0.39425291685468733 {'activation': 'softmax', 'epochs': 150, 'optimizer': 'Adamax'}
0.16658399419209174 {'activation': 'softmax', 'epochs': 150, 'optimizer': 'SGD'}
0.37933600774853954 {'activation': 'softmax', 'epochs': 150, 'optimizer': 'RMSprop'}
0.16658399419209174 {'activation': 'softmax', 'epochs': 150, 'optimizer': 'Adadelta'}
0.40289835855974615 {'activation': 'relu', 'epochs': 50, 'optimizer': 'Adam'}
0.37288736256621996 {'activation': 'relu', 'epochs': 50, 'optimizer': 'Adamax'}
0.5467880831819716 {'activation': 'relu', 'epochs': 50, 'optimizer': 'SGD'}
0.409701312608977 {'activation': 'relu', 'epochs': 50, 'optimizer': 'RMSprop'}
0.36856464487206303 {'activation': 'relu', 'epochs': 50, 'optimizer': 'Adadelta'}
0.41503383602291116 {'activation': 'relu', 'epochs': 100, 'optimizer': 'Adam'}
0.39843390628743536 {'activation': 'relu', 'epochs': 100, 'optimizer': 'Adamax'}
0.38807001425251586 {'activation': 'relu', 'epochs': 100, 'optimizer': 'SGD'}
0.4022782933239781 {'activation': 'relu', 'epochs': 100, 'optimizer': 'RMSprop'}
0.3897707557938411 {'activation': 'relu', 'epochs': 100, 'optimizer': 'Adadelta'}
0.4066718731615252 {'activation': 'relu', 'epochs': 150, 'optimizer': 'Adam'}
0.3703185297334675 {'activation': 'relu', 'epochs': 150, 'optimizer': 'Adamax'}
